date,capacity,turnover,change,transaction,open,high,low,close
2024-01-02,6283610,848793104,-0.55,10013,135.6,135.95,134.65,134.9
2024-01-03,14783894,1963126583,-2.35,25258,133.7,133.9,132.3,132.55
2024-01-04,4838660,641202865,-0.05,7094,132.55,132.75,132.3,132.5
2024-01-05,4566320,604475455,-0.35,12744,132.55,132.95,132.1,132.15
2024-01-08,9657556,1285524342,0.6,9876,133.0,133.6,132.75,132.75
2024-01-09,5906880,787405208,0.25,6499,133.85,133.95,132.75,133.0
2024-01-10,7249096,959855308,-0.7,13348,132.4,132.65,132.0,132.3
2024-01-11,5852556,777172314,0.55,7305,132.45,133.25,132.35,132.85
2024-01-12,6877839,911710806,-0.2,9482,132.2,133.05,131.95,132.65
2024-01-15,12566534,1673280222,0.35,12513,133.3,133.55,132.65,133.0
2024-01-16,23016099,3029504121,-1.35,23835,132.05,132.3,131.1,131.65
2024-01-17,39219163,5016755779,0.0,50897,130.0,130.0,127.3,127.45
2024-01-18,7535303,965672293,0.85,11151,127.9,128.55,127.9,128.3
2024-01-19,26897126,3553992205,4.6,18390,131.7,133.1,131.1,132.9
2024-01-22,13443533,1799399654,0.9,12583,133.8,134.35,133.35,133.8
2024-01-23,7339835,982801681,0.25,8187,133.9,134.25,133.5,134.05
2024-01-24,14554385,1953259376,-0.05,8606,134.15,134.4,133.95,134.0
2024-01-25,27224110,3687022852,1.65,20635,135.05,135.7,134.9,135.65
2024-01-26,16456940,2234146555,0.0,11391,135.65,135.95,135.3,135.65
2024-01-29,27291722,3720069370,0.85,14077,135.65,136.65,135.6,136.5
2024-01-30,9944399,1356292111,-0.35,8051,136.35,136.65,136.05,136.15
2024-01-31,7320760,985961198,-1.8,11931,135.25,135.3,134.35,134.35
2024-02-01,8812920,1180328029,0.0,9600,134.35,134.5,133.6,134.35
2024-02-02,9178958,1238629170,0.75,6764,135.0,135.2,134.65,135.1
2024-02-05,17961425,2439229519,0.85,16536,135.1,136.2,135.0,135.95
2024-02-15,44444918,6313384766,6.4,44592,142.2,142.7,141.4,142.35
2024-02-16,18273199,2589642250,-1.05,14623,142.35,142.35,141.2,141.3
2024-02-19,9632521,1357473487,-0.2,12669,141.0,141.25,140.6,141.1
2024-02-20,13875231,1965919655,0.55,11241,140.55,142.0,140.4,141.65
2024-02-21,12860271,1817231233,-0.45,13387,141.4,141.5,141.05,141.2
2024-02-22,13160126,1875242859,1.6,13559,142.95,143.05,141.85,142.8
2024-02-23,19974323,2872323988,0.95,17595,143.45,144.1,143.3,143.75
2024-02-26,10368883,1491081396,0.2,12614,143.7,144.0,143.0,143.95
2024-02-27,6507934,933504679,-0.6,10372,143.95,144.2,142.65,143.35
2024-02-29,7372502,1055974598,-0.05,10899,143.0,143.95,142.7,143.3
2024-03-01,9019098,1292041933,-0.5,11396,143.55,143.95,142.8,142.8
2024-03-04,25733539,3766826897,4.15,23900,145.0,147.2,144.85,146.95
2024-03-05,17270419,2557952404,1.2,18112,147.75,148.55,147.35,148.15
2024-03-06,17232812,2554806448,0.7,14657,147.0,149.05,146.4,148.85
2024-03-07,31117921,4732119017,3.45,25573,151.0,153.0,150.75,152.3
2024-03-08,30512569,4733555354,2.15,27381,155.6,156.45,153.0,154.45
2024-03-11,13908138,2131482853,-1.55,19953,153.85,154.2,152.55,152.9
2024-03-12,15457256,2377895105,1.6,13566,152.2,154.6,152.1,154.5
2024-03-13,13431850,2088230077,0.75,12114,155.55,156.15,154.95,155.25
2024-03-14,8777345,1361442129,-0.15,9671,154.9,155.8,154.3,155.1
2024-03-15,9218845,1418850825,-2.1,14662,154.3,154.75,153.0,153.0
2024-03-18,18434059,2836201013,1.4,11959,153.0,154.5,153.0,154.4
2024-03-19,8872114,1365460173,-0.35,8199,153.4,154.55,153.0,154.05
2024-03-20,10441824,1609185340,-0.85,11445,154.2,155.3,153.0,153.2
2024-03-21,21131978,3315155281,4.2,21103,155.55,157.7,155.55,157.4
2024-03-22,7163593,1126524179,-0.2,8945,157.5,158.25,156.5,157.2
2024-03-25,9052498,1426632970,0.3,10534,157.2,158.0,156.95,157.5
2024-03-26,7011591,1106518323,0.1,10423,158.3,159.2,156.4,157.6
